CODIMUNI;NOMMUNI;2017_mean;2017_min;2017_max;2018_mean;2018_min;2018_max;2019_mean;2019_min;2019_max;2020_mean;2020_min;2020_max
82732;Subirats;0.34;-0.38;1.00;0.39;-0.37;1.00;0.39;-0.37;1.00;0.48;-1.00;1.00
82763;Tagamanent;0.56;-0.49;1.00;0.62;-0.28;1.00;0.58;-0.37;1.00;0.67;-0.13;0.88
82798;Terrassa;0.39;-0.60;1.00;0.38;-0.55;1.00;0.45;-0.60;1.00;0.56;-1.00;1.00
82819;Tei”;0.34;-0.42;1.00;0.36;-0.38;1.00;0.41;-0.38;1.00;0.43;-1.00;0.84
82824;Tiana;0.33;-0.48;0.78;0.39;-0.36;0.79;0.42;-0.46;0.83;0.47;-1.00;0.85
82845;Tordera;0.49;-1.00;1.00;0.53;-0.47;1.00;0.53;-0.60;1.00;0.54;-1.00;0.84
82877;Torrelavit;0.21;-0.43;0.76;0.35;-0.14;0.76;0.35;-0.32;0.83;0.42;-0.44;0.81
82883;Torrelles de Foix;0.36;-0.53;0.83;0.41;-0.46;1.00;0.42;-0.31;1.00;0.45;-1.00;1.00
82896;Torrelles de Llobregat;0.47;-0.43;1.00;0.48;-0.45;1.00;0.52;-0.47;1.00;0.57;-1.00;1.00
82900;Ullastrell;0.43;-0.48;1.00;0.47;-0.42;1.00;0.52;-0.35;1.00;0.62;-1.00;0.86
82917;Vacarisses;0.45;-0.52;1.00;0.47;-0.56;1.00;0.51;-0.55;1.00;0.61;-0.37;0.86
82943;Vallgorguina;0.56;-0.41;0.83;0.61;-0.44;0.85;0.59;-0.62;1.00;0.63;-0.56;0.87
82956;Vallirana;0.40;-0.63;1.00;0.43;-0.55;1.00;0.45;-0.62;1.00;0.50;-1.00;0.85
82969;Vallromanes;0.50;-0.59;1.00;0.52;-0.34;1.00;0.55;-0.44;1.00;0.67;-0.25;0.87
83008;Viladecavalls;0.45;-0.53;1.00;0.44;-0.52;1.00;0.48;-0.44;1.00;0.60;-1.00;0.86
83015;Viladecans;0.24;-0.56;1.00;0.28;-0.53;1.00;0.31;-0.59;1.00;0.34;-1.00;0.85
83041;Vilob› del Penedﬁs;0.15;-0.41;0.81;0.34;-0.25;1.00;0.23;-0.29;1.00;0.41;-1.00;0.79
83054;Vilafranca del Penedﬁs;0.14;-0.37;0.79;0.32;-0.50;1.00;0.27;-0.51;1.00;0.37;-1.00;0.79
83067;Vilalba Sasserra;0.53;-0.31;0.81;0.58;-0.22;0.85;0.56;-0.16;0.85;0.63;-0.23;0.87
83073;Vilanova i la Geltr∑;0.22;-0.68;1.00;0.33;-0.51;1.00;0.34;-0.56;1.00;0.34;-0.52;0.80
89024;Vilanova del Vallﬁs;0.42;-0.53;1.00;0.41;-0.41;1.00;0.51;-0.43;1.00;0.59;-1.00;0.87
89045;Badia del Vallﬁs;0.24;-0.34;0.79;0.23;-0.27;0.73;0.28;-0.03;0.81;0.31;-0.13;0.83
89058;la Palma de Cervellæ;0.43;-0.31;1.00;0.39;-0.33;0.78;0.50;-0.28;1.00;0.54;-1.00;0.85
;Regio Metropolitana Barcelona;0.37;-1.00;1.00;0.42;-1.00;1.00;0.45;-0.80;1.00;0.51;-1.00;1.00
;Area Metropolitana Barcelona;0.30;-1.00;1.00;0.33;-0.61;1.00;0.38;-0.64;1.00;0.41;-1.00;1.00
;B-30;0.35;-0.63;1.00;0.35;-0.55;1.00;0.43;-0.61;1.00;0.50;-1.00;1.00
